taglank,plats,plandatumtid,train_type
202404103934,Finnerödja,2024-04-10 13:05:00,GT
202404103934,Laxå,2024-04-10 13:15:00,GT
202404103934,Laxå,2024-04-10 13:21:00,GT
202404103934,Linddalen,2024-04-10 13:29:00,GT
202404103934,Vretstorp,2024-04-10 13:33:00,GT
202404103934,Östansjö,2024-04-10 13:37:00,GT
202404103934,Tälle,2024-04-10 13:38:00,GT
202404103934,Hallsbergs rangerbangård,2024-04-10 13:42:00,GT
202404103934,Hallsbergs rangerbangård,2024-04-10 15:37:00,GT
202404103934,Hallsbergs pbg,2024-04-10 15:41:00,GT
202404103940,Hallsbergs pbg,2024-04-10 18:57:00,GT
202404103940,Hallsbergs rangerbangård,2024-04-10 18:59:00,GT
202404103940,Tälle,2024-04-10 19:02:00,GT
202404103940,Östansjö,2024-04-10 19:04:00,GT
202404103940,Vretstorp,2024-04-10 19:09:00,GT
202404103940,Linddalen,2024-04-10 19:13:00,GT
202404103940,Laxå,2024-04-10 19:19:00,GT
202404103940,Laxå,2024-04-10 19:35:00,GT
202404103940,Finnerödja,2024-04-10 19:49:00,GT
202404103940,Gårdsjö,2024-04-10 19:55:00,GT
202404103940,Älgarås,2024-04-10 20:00:00,GT
202404103940,Slätte,2024-04-10 20:05:00,GT
202404103940,Slätte,2024-04-10 20:22:00,GT
202404103940,Töreboda,2024-04-10 20:28:00,GT
202404103940,Moholm,2024-04-10 20:35:00,GT
202404103940,Väring,2024-04-10 20:44:00,GT
202404103940,Väring,2024-04-10 20:50:00,GT
202404103940,Skövde c,2024-04-10 21:02:00,GT
202404103940,Regumatorp,2024-04-10 21:09:00,GT
202404103940,Stenstorp,2024-04-10 21:14:00,GT
202404103940,Falköpings norra,2024-04-10 21:22:00,GT
202404103940,Falköpings c,2024-04-10 21:24:00,GT
202404103940,Floby,2024-04-10 21:32:00,GT
202404103940,Källeryd,2024-04-10 21:38:00,GT
202404103940,Herrljunga central,2024-04-10 21:45:00,GT
202404103940,Herrljunga västra,2024-04-10 22:02:00,GT
202404103940,Vårgårda,2024-04-10 22:17:00,GT
202404103940,Algutsgården,2024-04-10 22:24:00,GT
202404103940,Alingsås,2024-04-10 22:30:00,GT
202404103940,Bryngenäs,2024-04-10 22:34:00,GT
202404103940,Västra Bodarna,2024-04-10 22:35:00,GT
202404103940,Norsesund,2024-04-10 22:37:00,GT
202404103940,Norsesund västra,2024-04-10 22:38:00,GT
202404103940,Floda,2024-04-10 22:43:00,GT
202404103940,Stenkullen,2024-04-10 22:45:00,GT
202404103940,Lerum,2024-04-10 22:47:00,GT
202404103940,Aspedalen,2024-04-10 22:48:00,GT
202404103940,Aspen,2024-04-10 22:49:00,GT
